audio	text
booksent_2013_0040.wav	He didn't even begin to be tame till he met the woman, and she told him that she did not like living in his wild ways.
booksent_2013_0041.wav	He will kill mice, and he will be kind to babies when he is in the house, just as long as they do not pull his tail too hard.
booksent_2013_0042.wav	He understood what the rocks said deep under the earth when they bowed in towards each other and groaned.
booksent_2013_0043.wav	Cedric's good opinion of the advantages of being an Earl increased greatly during the next week.
booksent_2013_0044.wav	A few seconds later, they saw him struggle through the crowd on the lower deck and rush on shore just before the gang plank was drawn in.
booksent_2013_0045.wav	The fact was that Mrs. Errol had thought it better not to tell him why this plan had been made.
booksent_2013_0046.wav	He had picked up this seafaring remark from an elderly naval man of the name of Jerry, who told him stories in which it occurred frequently.
booksent_2013_0047.wav	He seldom argued with his lordly patron, never when his lordly patron's noble leg was inflamed by gout.
booksent_2013_0048.wav	Their mother stood courtesying and smiling, and the children, on receiving a sign from her, made bobbing little courtesies too.
booksent_2013_0049.wav	Mr. Havisham did not tell him that he would scarcely be allowed to make playmates of the gatekeepers' children.
booksent_2013_0050.wav	Cedric had never seen such trees. They were so grand and stately, and their branches grew so low down on their huge trunks.
booksent_2013_0051.wav	Once a copy of partridges rose with a sudden whirr and flew away, and then he shouted and clapped his hands.
booksent_2013_0052.wav	There was a fire on the hearth and the sunshine was streaming in through the ivy-untwined windows.
booksent_2013_0053.wav	The carriage rolled slowly away, but his lordship did not at once lean back. He still looked out.
booksent_2013_0054.wav	People appeared upon the scene whose seldom did him the honor of coming to hear his sermons.
booksent_2013_0055.wav	She had quite forgotten the Duchess by this time, and was a little startled when she heard her voice close to her ear.
booksent_2013_0056.wav	Alice looked up, and there stood the queen in front of them, with her arms folded frowning like a thunderstorm.
booksent_2013_0057.wav	So they went up to the mock-turtle, who looked at them with large eyes full of tears, but said nothing.
booksent_2013_0058.wav	Alice did not dare to disobey, though she felt sure it would all come wrong, and she went on in a trembling voice.
booksent_2013_0059.wav	But there seemed to be no chance of this, so she began looking at everything about her, to pass away the time.
booksent_2013_0060.wav	This of course, Alice could not stand, and she went round the court and got behind him, and very soon found an opportunity of taking it away.
booksent_2013_0061.wav	They had a large canvas bag, which tied up at the mouth with strings: into this they slipped the guinea-pig, head first, and then sat upon it.
booksent_2013_0062.wav	They were just beginning to write this down on their slates when the white rabbit interrupted
booksent_2013_0063.wav	The unfortunate little Bill had left off writing on his slate with one finger, as he found it made no mark.
booksent_2013_0064.wav	There was a table set out under a tree in front of the house, and the march-hair and the hatter were having tea at it.
booksent_2013_0065.wav	The Hatter's remarks seemed to have no sort of meaning in it, and yet it was certainly English.
booksent_2013_0066.wav	Then she set to work nibbling at the mushroom. She had kept a piece of it in her pocket till she was about a foot high.
booksent_2013_0067.wav	Even Weythorn could not but admit that she had discovered the solution of the newest social problem.
booksent_2013_0068.wav	If there had been any element of passion in the transaction he would have felt less deteriorated by it.
booksent_2013_0069.wav	She reminded him of a juggler tossing knives, but the knives were blunt, and she knew they would never cut her.
booksent_2013_0070.wav	He had drifted into a dulling propinquity, with Haskett and Varek, and he took refuge in the cheap revenge of satirizing the situation.
booksent_2013_0071.wav	His wife knew exactly how to manage the lights, and he knew exactly to what training she owed her skill.
booksent_2013_0072.wav	He ceased to satirize himself because time dulled the irony of the situation, and the joke lost its humor with its sting.
booksent_2013_0073.wav	He opened his cigar-case and held it out to his visitor, and Haskett's acceptance seemed to mark a fresh stage in their intercourse.
booksent_2013_0074.wav	She came in fresh and smiling, in her street dress and hat, shedding a fragrance from the boa which she loosened in advancing.
booksent_2013_0075.wav	The three men stood awkwardly before her, till Varick, always the most self-possessed, dashed into an explanatory phrase.
booksent_2013_0076.wav	She dropped into her low chair by the tea-table, and the two visitors, as if drawn by her smile, advanced to receive the cups she held out.
booksent_2013_0077.wav	She pretended to be examining their texture, which the clerk assured her was excellent.
booksent_2013_0078.wav	Then she replaced her shoes, rolled the cotton stockings together and thrust them into her bag.
booksent_2013_0079.wav	After doing this she crossed straight over to the shoe department and took her seat to be fitted.
booksent_2013_0080.wav	There were books and magazines piled up in the window of a stall a few paces down the street.
booksent_2013_0081.wav	Then she picked up a magazine and glanced through it, cutting the pages with a blunt edge of her knife.
booksent_2013_0082.wav	What did it matter about a name when he could give her one of the oldest and proudest in Louisiana?
booksent_2013_0083.wav	Big, solemn oaks grew close to it, and their thick-leaved, far-reaching branches shadowed it like a pall.
booksent_2013_0084.wav	The young mother was recovering slowly and lay full length in her soft white muslins and laces upon a couch.
booksent_2013_0085.wav	The blood turned like ice in her veins, and a clammy moisture gathered upon her face.
booksent_2013_0086.wav	He laid aside the great, soft fan, and obediently stole away, over the polished floor, on his bare tiptoes.
booksent_2013_0087.wav	She stayed motionless, with gaze riveted upon her child, and her face the picture of fright.
booksent_2013_0088.wav	He coldly but gently loosened her fingers from about his arm, and thrust the hand away from him.
booksent_2013_0089.wav	She gave some to Toto in taking a pail from the shelf. She carried it down to the little brook and filled it with clear sparkling water.
booksent_2013_0090.wav	It was gingham, with checks of white and blue. And although the blue was somewhat faded with many washings, it was still a pretty frock.
booksent_2013_0091.wav	Within a short time, she was walking briskly towards the Emerald City. Her silver shoes tinkling merrily on the hard yellow roadbed.
booksent_2013_0092.wav	There was a great corn field beyond the fence, and not far away she saw a scarecrow, placed high on a pole to keep the birds from the ripe corn.
booksent_2013_0093.wav	There were fewer houses and fewer fruit trees, and the farther they went, the more dismal and lonesome the country became.
booksent_2013_0094.wav	After an hour or so the light faded away and they found themselves stumbling along in the darkness.
booksent_2013_0095.wav	When she had finished her meal and was about to go back to the road of Yellow Brick, she was startled to hear a deep groan nearby.
booksent_2013_0096.wav	is head and arms and legs were jointed upon his body, but he stood perfectly motionless, as if he could not stir at all.
booksent_2013_0097.wav	But the tin woodman set to work with his axe and chopped so well that soon he cleared a passage for the entire party.
booksent_2013_0098.wav	What worried her most was that the bread was nearly gone, and another meal for herself and Toto would empty the basket.
booksent_2013_0099.wav	But now and then there came a deep growl from some wild animal hidden among the trees.
booksent_2013_0100.wav	But to the lion's surprise he could make no impression on the tin, although the woodman fell over in the road and lay still.
